SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,7004 Guthrie Ave,Cleveland,OH,44102,89999,2,1,Elwell & Marvin,669,1489,1904,35,135,,Active,,,https://www.redfin.com/OH/Cleveland/7004-Guthrie-Ave-44102/home/70724753,Yes-MLS,4444283,N,Y,41.4768702,-81.7333372
MLS Listing,,Single Family Residential,3222 W 50th St,Cleveland,OH,44102,94900,2,1,Cleveland,954,5000,1926,35,99,,Active,,,https://www.redfin.com/OH/Cleveland/3222-W-50th-St-44102/home/70738267,Yes-MLS,4444647,N,Y,41.4662466,-81.7213685
MLS Listing,,Vacant Land,5209 Herman Ave,Cleveland,OH,44102,549999,,,Cleveland,,,,41,,,Active,,,https://www.redfin.com/OH/Cleveland/5209-Herman-Ave-44102/home/70721357,Yes-MLS,4443471,N,Y,41.4876481,-81.7231642
MLS Listing,,Multi-Family (2-4 Unit),7204 Clark Ave,Cleveland,OH,44102,64900,4,2,James M Hoyts,,4443,1900,42,,,Active,,,https://www.redfin.com/OH/Cleveland/7204-Clark-Ave-44102/home/70725224,Yes-MLS,4438921,N,Y,41.4697631,-81.7355196
MLS Listing,,Single Family Residential,2227 W 101 St,Cleveland,OH,44102,110000,3,1,West Blvd Allotment,1617,4234,1910,47,68,,Active,,,https://www.redfin.com/OH/Cleveland/2227-W-101st-St-44102/home/66171650,Yes-MLS,4441284,N,Y,41.4707647,-81.7538979
MLS Listing,,Vacant Land,3472 W 52nd St,Cleveland,OH,44102,24900,,,Joseph H Storers,,5118,,49,,,Active,,,https://www.redfin.com/OH/Cleveland/3472-W-52nd-St-44102/home/66589061,Yes-MLS,4440937,N,Y,41.4599137,-81.7234635
MLS Listing,,Single Family Residential,2173 W 98th St,Cleveland,OH,44102,49000,3,1,Marvin,1792,5998,1900,53,27,,Active,,,https://www.redfin.com/OH/Cleveland/2173-W-98th-St-44102/home/66253560,Yes-MLS,4437394,N,Y,41.4722534,-81.7506835
MLS Listing,,Single Family Residential,3205 W 56th St,Cleveland,OH,44102,39500,2,1,Hoyt,916,5000,1900,53,43,,Active,,,https://www.redfin.com/OH/Cleveland/3205-W-56th-St-44102/home/66131376,Yes-MLS,4439181,N,Y,41.4667092,-81.7243944
MLS Listing,,Single Family Residential,1335 W 78th St,Cleveland,OH,44102,248223,3,2,Cleveland,1747,4238,1890,54,142,,Active,,,https://www.redfin.com/OH/Cleveland/1335-W-78th-St-44102/home/70719598,Yes-MLS,4436187,N,Y,41.483583,-81.738231
MLS Listing,,Townhouse,10803 Detroit Ave Unit 3A,Cleveland,OH,44102,350000,3,2.5,Schilling Square Condo,1768,12196,1925,62,198,100,Active,,,https://www.redfin.com/OH/Cleveland/10803-Detroit-Ave-44102/unit-3A/home/66173325,Yes-MLS,4439002,N,Y,41.4817239,-81.7623308
MLS Listing,,Multi-Family (2-4 Unit),5817 Detroit Ave,Cleveland,OH,44102,699900,4,4,Cleveland,2650,2430,1910,65,264,,Active,,,https://www.redfin.com/OH/Cleveland/5817-Detroit-Ave-44102/home/182258194,Yes-MLS,4438185,N,Y,41.4846915,-81.7269691
MLS Listing,,Single Family Residential,1428 W 50th St,Cleveland,OH,44102,199900,3,1,Martin,,4238,1920,69,,,Active,,,https://www.redfin.com/OH/Cleveland/1428-W-50th-St-44102/home/70720299,Yes-MLS,4437392,N,Y,41.4854752,-81.7217001
MLS Listing,,Single Family Residential,3233 W 50th St,Cleveland,OH,44102,99000,3,1,James M Hoyts,1196,5000,1900,78,83,,Active,,,https://www.redfin.com/OH/Cleveland/3233-W-50th-St-44102/home/70738668,Yes-MLS,4424797,N,Y,41.4659319,-81.7209089
MLS Listing,,Single Family Residential,3575 W 67th St,Cleveland,OH,44102,74800,3,1,Denison Brookside,914,3998,1905,79,82,,Active,,,https://www.redfin.com/OH/Cleveland/3575-W-67th-St-44102/home/70733790,Yes-MLS,4428266,N,Y,41.4589092,-81.7341998
MLS Listing,,Vacant Land,1974 W 52nd St,Cleveland,OH,44102,39000,,,Benedict & Roots Sub,,3959,,85,,,Active,,,https://www.redfin.com/OH/Cleveland/1974-W-52nd-St-44102/home/70720944,Yes-MLS,4434401,N,Y,41.477791,-81.722795
MLS Listing,,Single Family Residential,3430 W 56th St,Cleveland,OH,44102,100000,2,1,Meyers Schneiders Allotmen T,,5880,1954,87,,,Active,,,https://www.redfin.com/OH/Cleveland/3430-W-56th-St-44102/home/70738775,Yes-MLS,4433904,N,Y,41.4609708,-81.7255987
MLS Listing,,Single Family Residential,1304 W 76 St,Cleveland,OH,44102,675000,4,2.5,Detroit Shoreway,2917,4356,1910,89,231,,Active,April-26-2023 05:00 PM,April-26-2023 07:00 PM,https://www.redfin.com/OH/Cleveland/1304-W-76th-St-44102/home/70719596,Yes-MLS,4431296,N,Y,41.4847207,-81.7378246
MLS Listing,,Single Family Residential,2084 W 104th St,Cleveland,OH,44102,79900,4,1.5,C M Mix,1292,3484,1914,90,62,,Active,,,https://www.redfin.com/OH/Cleveland/2084-W-104th-St-44102/home/66157901,Yes-MLS,4432421,N,Y,41.4746716,-81.7580022
MLS Listing,,Single Family Residential,1980 W 52nd St,Cleveland,OH,44102,130000,3,1,Benedict & Root,1236,4556,1900,92,105,,Active,,,https://www.redfin.com/OH/Cleveland/1980-W-52nd-St-44102/home/70720905,Yes-MLS,4415251,N,Y,41.4776139,-81.7227474
MLS Listing,,Single Family Residential,8704 Willard Ave,Cleveland,OH,44102,125000,6,2,Jane C Lufkin & L A Tomkins S,,4303,1900,96,,,Active,,,https://www.redfin.com/OH/Cleveland/8704-Willard-Ave-44102/home/66455731,Yes-MLS,4432500,N,Y,41.4713257,-81.7443195
MLS Listing,,Multi-Family (2-4 Unit),3215 W 92nd St,Cleveland,OH,44102,114900,4,2,Goodman Andrews & Morrisons,2002,4599,1912,96,57,,Active,,,https://www.redfin.com/OH/Cleveland/3215-W-92nd-St-44102/home/66581776,Yes-MLS,4429750,N,Y,41.4661257,-81.7465802
MLS Listing,,Multi-Family (2-4 Unit),1914 W 58th St,Cleveland,OH,44102,239900,4,2,Charles G Somers & W B Wintert,1832,4395,1880,100,131,,Active,,,https://www.redfin.com/OH/Cleveland/1914-W-58th-St-44102/home/66575900,Yes-MLS,4430756,N,Y,41.4794843,-81.7266186
MLS Listing,,Single Family Residential,3026 W 46th St,Cleveland,OH,44102,99000,3,1.5,Taylor & Hoyt,1250,5000,1890,109,79,,Active,,,https://www.redfin.com/OH/Cleveland/3026-W-46th-St-44102/home/66087586,Yes-MLS,4424746,N,Y,41.4715759,-81.7182901
MLS Listing,,Multi-Family (2-4 Unit),3288 W 52nd St,Cleveland,OH,44102,85000,4,2,James M Hoyts Allotment,1797,5039,1920,110,47,,Active,,,https://www.redfin.com/OH/Cleveland/3288-W-52nd-St-44102/home/70738189,Yes-MLS,4413857,N,Y,41.4644275,-81.7225229
MLS Listing,,Single Family Residential,7505 Elton Ave,Cleveland,OH,44102,139900,3,1,James M Hoyts,1420,4408,1904,118,99,,Active,,,https://www.redfin.com/OH/Cleveland/7505-Elton-Ave-44102/home/70724934,Yes-MLS,4429369,N,Y,41.4742912,-81.7365495
MLS Listing,,Single Family Residential,7507 Elton Ave,Cleveland,OH,44102,94900,2,1,Hoyt,714,1698,1910,118,133,,Active,,,https://www.redfin.com/OH/Cleveland/7507-Elton-Ave-44102/home/70724881,Yes-MLS,4429373,N,Y,41.4740988,-81.7365169
MLS Listing,,Multi-Family (2-4 Unit),1984 W 75th St,Cleveland,OH,44102,250000,4,2,Anthony,2224,3280,1920,120,112,,Active,,,https://www.redfin.com/OH/Cleveland/1984-W-75th-St-44102/home/70720736,Yes-MLS,4428922,N,Y,41.4774622,-81.7369089
MLS Listing,,Single Family Residential,3110 W 84th St,Cleveland,OH,44102,116800,3,1,Pelton Farm Allotment,981,1729,1917,120,119,,Active,,,https://www.redfin.com/OH/Cleveland/3110-W-84th-St-44102/home/70739652,Yes-MLS,4428540,N,Y,41.4691367,-81.742665
