SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,3057 W 48th St,Cleveland,OH,44102,35000,,,Taylor,,5000,,342,,,Active,,,https://www.redfin.com/OH/Cleveland/3057-W-48th-St-44102/home/70725163,Yes-MLS,4372900,N,Y,41.470674,-81.720074
MLS Listing,,Vacant Land,3165 W 48th St,Cleveland,OH,44102,50000,,,Diodate Clarks Sub,,3001,,342,,,Active,,,https://www.redfin.com/OH/Cleveland/3165-W-48th-St-44102/home/70738513,Yes-MLS,4372871,N,Y,41.467751,-81.719725
MLS Listing,,Townhouse,4622 Lorain Ave #5,Cleveland,OH,44102,899900,3,4,Amelia,2809,,2022,359,320,83,Active,,,https://www.redfin.com/OH/Cleveland/4622-Lorain-Ave-44102/unit-5/home/179175013,Yes-MLS,4367442,N,Y,41.4786892,-81.7187463
MLS Listing,,Townhouse,1989 W 47th St #7,Cleveland,OH,44102,642605,2,3,Amelia,2188,,2022,363,294,83,Active,,,https://www.redfin.com/OH/Cleveland/1989-W-47th-St-44102/unit-7/home/179144122,Yes-MLS,4366702,N,Y,41.4786844,-81.7186054
MLS Listing,,Condo/Co-op,1991 W 47th St #6,Cleveland,OH,44102,752300,4,3.5,Amelia,2551,,2022,363,295,83,Active,,,https://www.redfin.com/OH/Cleveland/1991-W-47th-St-44102/unit-6/home/179144069,Yes-MLS,4366697,N,Y,41.4786292,-81.7186057
MLS Listing,,Vacant Land,2114 W 81st St,Cleveland,OH,44102,20000,,,J H Hardys,,4626,,364,,,Active,,,https://www.redfin.com/OH/Cleveland/2114-W-81st-St-44102/home/70724633,Yes-MLS,4366363,N,Y,41.4739059,-81.740905
MLS Listing,,Townhouse,4620 Lorain Ave #4,Cleveland,OH,44102,582300,2,3,Amelia,1938,,2022,364,300,83,Active,,,https://www.redfin.com/OH/Cleveland/4620-Lorain-Ave-44102/unit-4/home/179123978,Yes-MLS,4366038,N,Y,41.4786917,-81.7187392
MLS Listing,,Townhouse,4618 Lorain Ave #3,Cleveland,OH,44102,600800,2,3,Amelia,1913,,2022,364,314,83,Active,,,https://www.redfin.com/OH/Cleveland/4618-Lorain-Ave-44102/unit-3/home/179123926,Yes-MLS,4366023,N,Y,41.4786943,-81.7187321
MLS Listing,,Townhouse,4616 Lorain Ave #2,Cleveland,OH,44102,600800,2,3,Amelia,1860,,2022,365,323,83,Active,,,https://www.redfin.com/OH/Cleveland/4616-Lorain-Ave-44102/unit-2/home/179113486,Yes-MLS,4365953,N,Y,41.478692,-81.718722
MLS Listing,,Townhouse,4614 Lorain Ave #1,Cleveland,OH,44102,620800,2,3,Amelia,1928,,2022,365,322,83,Active,,,https://www.redfin.com/OH/Cleveland/4614-Lorain-Ave-44102/unit-1/home/179112585,Yes-MLS,4365916,N,Y,41.4786988,-81.7187196
MLS Listing,,Townhouse,1987 W 47th St #8,Cleveland,OH,44102,575800,2,2.5,Amelia,1803,,2022,365,319,83,Active,,,https://www.redfin.com/OH/Cleveland/1987-W-47th-St-44102/unit-8/home/179111736,Yes-MLS,4365860,N,Y,41.4787395,-81.718605
MLS Listing,,Multi-Family (2-4 Unit),7104 Dearborn Ave,Cleveland,OH,44102,66900,2,2,Cleveland,1132,2574,1916,617,59,,Active,,,https://www.redfin.com/OH/Cleveland/7104-Dearborn-Ave-44102/home/70725389,Yes-MLS,4082915,N,Y,41.466291,-81.7346793
MLS Listing,,Single Family Residential,3128 W 56th St,Cleveland,OH,44102,67900,3,1,Conrad Marquarts,1012,5048,1900,1141,67,,Active,,,https://www.redfin.com/OH/Cleveland/3128-W-56th-St-44102/home/70738393,Yes-MLS,4173085,N,Y,41.468826,-81.7248316
MLS Listing,,Multi-Family (2-4 Unit),3395 W 65th St,Cleveland,OH,44102,69800,4,,,1255,3920,1885,1518,56,,Active,,,https://www.redfin.com/OH/Cleveland/3395-W-65th-St-44102/home/70739043,CBRMLS,219001520,N,Y,41.4618091,-81.7302208
